iter	Passed	Remaining
0	137	13638
1	138	6800
2	139	4517
3	140	3377
4	141	2688
5	142	2228
6	142	1899
7	143	1652
8	144	1461
9	145	1307
10	146	1181
11	146	1076
12	147	987
13	148	910
14	148	844
15	149	785
16	150	734
17	151	688
18	151	646
19	152	609
20	153	576
21	153	545
22	154	517
23	155	492
24	156	468
25	156	446
26	157	425
27	158	406
28	159	389
29	159	372
30	160	357
31	161	342
32	161	328
33	162	316
34	163	303
35	164	292
36	165	281
37	165	270
38	166	260
39	167	250
40	167	241
41	168	232
42	169	224
43	169	216
44	170	208
45	171	201
46	172	193
47	172	187
48	173	180
49	174	174
50	174	167
51	175	161
52	176	156
53	177	151
54	178	145
55	179	140
56	179	135
57	180	130
58	181	126
59	182	121
60	183	117
61	183	112
62	184	108
63	185	104
64	186	100
65	187	96
66	187	92
67	188	88
68	189	85
69	190	81
70	191	78
71	191	74
72	192	71
73	193	67
74	194	64
75	195	61
76	196	58
77	196	55
78	197	52
79	198	49
80	199	46
81	200	44
82	201	41
83	202	38
84	203	35
85	203	33
86	204	30
87	205	28
88	206	25
89	206	22
90	207	20
91	208	18
92	209	15
93	210	13
94	211	11
95	211	8
96	212	6
97	213	4
98	214	2
99	215	0
